SMILES,CID,canonical_CID,r_inhibition_at_20_uM,r_inhibition_at_50_uM,r_IC50,f_inhibition_at_20_uM,f_inhibition_at_50_uM,f_avg_IC50,f_avg_pIC50,f_max_inhibition_reading,f_min_inhibition_reading,f_hill_slope,f_R2,relative_solubility_at_20_uM,relative_solubility_at_100_uM,trypsin_IC50
CC(C)N(C)CC1CCN(c2ccc(S(N)(=O)=O)cc2)CC1,WAR-XCH-b72a1bbc-48,WAR-XCH-b72a1bbc-48,0.0,0.0,,,-17.79275,,,,,,,1.0,0.99,
CCN(C)CC1CCN(c2ccc(S(N)(=O)=O)cc2)CC1,WAR-XCH-b72a1bbc-49,WAR-XCH-b72a1bbc-49,0.0,0.0,,3.385399,6.021047,,,,,,,1.0,0.98,
Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,ALE-UNK-fca05062-1,ALE-UNK-fca05062-1,0.0,,,7.217611,12.97443,,,,,,,0.83,0.53,
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,ALE-UNK-fca05062-2,ALE-UNK-fca05062-2,0.0,,,2.3105455,6.7151555,,,,,,,0.82,0.32,
Cc1cccc(C)c1OCC(=O)NCCc1ccccc1,ALE-UNK-fca05062-3,ALE-UNK-fca05062-3,0.0,0.0,,1.78359765,7.2497905,,,,,,,1.0,0.98,
O=C(COc1ccccc1)NCCc1ccccc1,ALE-UNK-fca05062-4,ALE-UNK-fca05062-4,0.0,0.0,,-0.1782065,-0.0737995,,,,,,,1.0,1.0,
CCCNC(=O)C(C)NC(=O)N(C)Cc1csc(C)n1,ALE-UNK-fca05062-9,ALE-UNK-fca05062-9,0.0,,,0.813694,-2.742432,,,,,,,1.0,1.0,
N#Cc1ccc(NC(=O)Nc2cccnc2)cc1,JOH-UNK-14e6adc5-2,ANN-UNI-26382800-3,0.0,,,5.8158525,11.55569,,,,,,,1.0,1.0,
Cc1ccncc1NC(=O)CCNc1ccc(S(N)(=O)=O)cc1,GAB-REV-70cc3ca5-3,GAB-REV-70cc3ca5-3,0.0,0.0,,,-27.10521,,,,,,,1.0,1.0,
Cc1ccncc1NC(=O)CNc1ccnc2ccccc12,GAB-REV-70cc3ca5-4,GAB-REV-70cc3ca5-4,0.0,,,-21.6493,-18.34019,,,,,,,1.0,1.0,
Cc1ccncc1NC(=O)CC(C)(C)NC(=O)c1cccc2[nH]ccc12,GAB-REV-70cc3ca5-6,GAB-REV-70cc3ca5-6,0.0,0.0,,,-10.42203,,,,,,,0.99,0.99,
Cc1ccncc1NC(=O)CN(C)S(=O)(=O)c1cccc2cccnc12,GAB-REV-70cc3ca5-8,GAB-REV-70cc3ca5-8,0.0,-0.449359762613582,,43.37566,17.30223,99.0,,41.569985,-15.1198,1.85412482485333,0.702505268908235,0.99,1.0,
Cc1ccncc1NC(=O)CNC(=O)Cc1cccnc1,GAB-REV-70cc3ca5-13,GAB-REV-70cc3ca5-13,0.0,0.0,,8.039427,-15.3538,,,,,,,1.0,1.0,
Cc1ccncc1NC(=O)Cc1ccc2nc[nH]c2c1,GAB-REV-70cc3ca5-18,GAB-REV-70cc3ca5-18,0.0,0.0,,-2.241022,4.267136,,,,,,,0.99,0.99,
Cc1ccncc1NC(=O)Cc1ccc(S(N)(=O)=O)cc1,GAB-REV-70cc3ca5-20,GAB-REV-70cc3ca5-20,6.415,-0.94,,4.7612595,10.89574,,,,,,,1.0,1.0,
Cc1ccnc(NC(=O)Cc2ccc3ccccc3c2)c1,ALV-UNI-7ff1a6f9-45,ALV-UNI-7ff1a6f9-45,0.0,,,3.570383,8.233209,,,,,,,0.98,0.94,
